x	y	fast_likelihood_quarks.yaml	custom_beta	global
-1.8253061224489797	0.21224489795918355	-21.044834265112513	-4.257712345993241	-21.044834265112513
-1.8253061224489797	0.29714285714285715	-25.305924845794948	-9.49942825145672	-25.305924845794948
-1.8253061224489797	0.38204081632653075	-32.37251336601997	-16.772813883383265	-32.37251336601997
-1.8253061224489797	0.46693877551020435	-42.129932365340665	-26.084247398225898	-42.129932365340665
-1.8253061224489797	0.5518367346938775	-54.74629674815782	-37.44012551357389	-54.74629674815782
-1.8253061224489797	0.6367346938775511	-70.10187090866907	-50.84686356526993	-70.10187090866907
-1.8253061224489797	0.7216326530612247	-88.18178283185807	-66.31089556458551	-88.18178283185807
-1.8253061224489797	0.8065306122448979	-108.97280649247739	-83.83867425576238	-108.97280649247739
-1.8253061224489797	0.8914285714285715	-132.4652374078554	-103.43667117356279	-132.4652374078554
-1.8253061224489797	0.9763265306122451	-158.64988099995105	-125.11137670121218	-158.64988099995105
-1.8253061224489797	1.0612244897959187	-187.5603484654223	-148.86930012829123	-187.5603484654223
-1.8253061224489797	1.1461224489795918	-219.16083608667884	-174.71696970899757	-219.16083608667884
-1.8253061224489797	1.2310204081632654	-253.37605383004222	-202.66093272071362	-253.37605383004222
-1.8253061224489797	1.315918367346939	-290.44906266990915	-232.70775552235784	-290.44906266990915
-1.8253061224489797	1.4008163265306122	-330.3140230152243	-264.864023613368	-330.3140230152243
-1.8253061224489797	1.4857142857142858	-373.02066853941085	-299.1363416926978	-373.02066853941085
-1.8253061224489797	1.5706122448979594	-418.67258234752273	-335.53133371784327	-418.67258234752273
-1.8253061224489797	1.655510204081633	-467.2860891356769	-374.05564296453247	-467.2860891356769
-1.8253061224489797	1.7404081632653061	-518.9683560790626	-414.7159320860145	-518.9683560790626
-1.8253061224489797	1.8253061224489797	-573.8670899878056	-457.51888317315036	-573.8670899878056
-1.8253061224489797	1.9102040816326533	-632.0802758066449	-502.47119781418803	-632.0802758066449
-1.8253061224489797	1.9951020408163265	-693.7499013649053	-549.5795971548804	-693.7499013649053
-1.8253061224489797	2.08	-758.9991098376871	-598.8508219593704	-758.9991098376871
-1.7404081632653061	-2.08	-1089.323213374877	-607.8941538661664	-1089.323213374877
-1.7404081632653061	-1.9951020408163267	-1004.01753826776	-560.6255452059212	-1004.01753826776
-1.7404081632653061	-1.910204081632653	-922.6287682785584	-515.2232059090437	-922.6287682785584
-1.7404081632653061	-1.8253061224489797	-845.1003545816385	-471.6930338614228	-845.1003545816385
-1.7404081632653061	-1.7404081632653061	-771.3797412143541	-430.0409440383954	-771.3797412143541
-1.7404081632653061	-1.6555102040816327	-701.4163735653889	-390.2728685574276	-701.4163735653889
-1.7404081632653061	-1.5706122448979594	-635.1527038565316	-352.3947567303493	-635.1527038565316
-1.7404081632653061	-1.4857142857142858	-572.5407558620548	-316.4125751157138	-572.5407558620548
-1.7404081632653061	-1.4008163265306122	-513.5310229149012	-282.3323075716643	-513.5310229149012
-1.7404081632653061	-1.3159183673469388	-458.07403006007894	-250.15995530899988	-458.07403006007894
-1.7404081632653061	-1.2310204081632654	-406.1231434885557	-219.90153694360708	-406.1231434885557
-1.7404081632653061	-1.1461224489795918	-357.6374530155854	-191.56308855044801	-357.6374530155854
