x	y	likelihood_ewpt.yaml	global
-1.8253061224489797	-0.21224489795918355	-16395.26571959864	-16395.26571959864
-1.8253061224489797	-0.12734693877551018	-15173.305321476044	-15173.305321476044
-1.8253061224489797	-0.0424489795918368	-13998.30768126994	-13998.30768126994
-1.8253061224489797	0.0424489795918368	-12870.343760209204	-12870.343760209204
-1.8253061224489797	0.1273469387755104	-11789.484438832762	-11789.484438832762
-1.8253061224489797	0.21224489795918355	-10755.800516188461	-10755.800516188461
-1.8253061224489797	0.29714285714285715	-9769.362709034383	-9769.362709034383
-1.8253061224489797	0.38204081632653075	-8830.241651032165	-8830.241651032165
-1.8253061224489797	0.46693877551020435	-7938.5078919461985	-7938.5078919461985
-1.8253061224489797	0.5518367346938775	-7094.231896836325	-7094.231896836325
-1.8253061224489797	0.6367346938775511	-6297.484045250456	-6297.484045250456
-1.8253061224489797	0.7216326530612247	-5548.334630416546	-5548.334630416546
-1.8253061224489797	0.8065306122448979	-4846.853858431354	-4846.853858431354
-1.8253061224489797	0.8914285714285715	-4193.111847449801	-4193.111847449801
-1.8253061224489797	0.9763265306122451	-3587.178626871807	-3587.178626871807
-1.8253061224489797	1.0612244897959187	-3029.124136526862	-3029.124136526862
-1.8253061224489797	1.1461224489795918	-2519.018225858813	-2519.018225858813
-1.8253061224489797	1.2310204081632654	-2056.930653108069	-2056.930653108069
-1.8253061224489797	1.315918367346939	-1642.931084492781	-1642.931084492781
-1.8253061224489797	1.4008163265306122	-1277.08909338859	-1277.08909338859
-1.8253061224489797	1.4857142857142858	-959.4741595071163	-959.4741595071163
-1.8253061224489797	1.5706122448979594	-690.1556680727313	-690.1556680727313
-1.8253061224489797	1.655510204081633	-469.20290899771044	-469.20290899771044
-1.8253061224489797	1.7404081632653061	-296.6850760568896	-296.6850760568896
-1.8253061224489797	1.8253061224489797	-172.67126606018604	-172.67126606018604
-1.8253061224489797	1.9102040816326533	-97.23047802383894	-97.23047802383894
-1.8253061224489797	1.9951020408163265	-70.43161234050935	-70.43161234050935
-1.8253061224489797	2.08	-92.34346994790253	-92.34346994790253
-1.7404081632653061	-2.08	-52545.68070431159	-52545.68070431159
-1.7404081632653061	-1.9951020408163267	-50358.569788410045	-50358.569788410045
-1.7404081632653061	-1.910204081632653	-48216.925765211716	-48216.925765211716
-1.7404081632653061	-1.8253061224489797	-46120.821109031436	-46120.821109031436
-1.7404081632653061	-1.7404081632653061	-44070.32822982606	-44070.32822982606
-1.7404081632653061	-1.6555102040816327	-42065.51947243338	-42065.51947243338
-1.7404081632653061	-1.5706122448979594	-40106.467115797954	-40106.467115797954
-1.7404081632653061	-1.4857142857142858	-38193.2433722046	-38193.2433722046
-1.7404081632653061	-1.4008163265306122	-36325.920386504054	-36325.920386504054
-1.7404081632653061	-1.3159183673469388	-34504.57023534004	-34504.57023534004
-1.7404081632653061	-1.2310204081632654	-32729.26492637451	-32729.26492637451
-1.7404081632653061	-1.1461224489795918	-31000.0763975088	-31000.0763975088
-1.7404081632653061	-1.0612244897959184	-29317.076516110556	-29317.076516110556
-1.7404081632653061	-0.9763265306122448	-27680.337078226697	-27680.337078226697
-1.7404081632653061	-0.8914285714285715	-26089.92980780761	-26089.92980780761
-1.7404081632653061	-0.8065306122448979	-24545.926355919422	-24545.926355919422
-1.7404081632653061	-0.7216326530612245	-23048.398299963188	-23048.398299963188
-1.7404081632653061	-0.6367346938775511	-21597.417142886745	-21597.417142886745
-1.7404081632653061	-0.5518367346938775	-20193.054312396336	-20193.054312396336
-1.7404081632653061	-0.46693877551020413	-18835.38116016857	-18835.38116016857
-1.7404081632653061	-0.38204081632653053	-17524.468961057835	-17524.468961057835
-1.7404081632653061	-0.29714285714285715	-16260.38891230691	-16260.38891230691
-1.7404081632653061	-0.21224489795918355	-15043.212132748658	-15043.212132748658
-1.7404081632653061	-0.12734693877551018	-13873.009662013052	-13873.009662013052
-1.7404081632653061	-0.0424489795918368	-12749.85245973038	-12749.85245973038
-1.7404081632653061	0.0424489795918368	-11673.811404731283	-11673.811404731283
-1.7404081632653061	0.1273469387755104	-10644.957294248012	-10644.957294248012
-1.7404081632653061	0.21224489795918355	-9663.360843110488	-9663.360843110488
-1.7404081632653061	0.29714285714285715	-8729.092682947059	-8729.092682947059
-1.7404081632653061	0.38204081632653075	-7842.2233613749395	-7842.2233613749395
-1.7404081632653061	0.46693877551020435	-7002.823341198643	-7002.823341198643
-1.7404081632653061	0.5518367346938775	-6210.962999599644	-6210.962999599644
-1.7404081632653061	0.6367346938775511	-5466.712627328721	-5466.712627328721
-1.7404081632653061	0.7216326530612247	-4770.142427893714	-4770.142427893714
-1.7404081632653061	0.8065306122448979	-4121.322516750518	-4121.322516750518
-1.7404081632653061	0.8914285714285715	-3520.322920486153	-3520.322920486153
-1.7404081632653061	0.9763265306122451	-2967.2135760062524	-2967.2135760062524
-1.7404081632653061	1.0612244897959187	-2462.064329718127	-2462.064329718127
-1.7404081632653061	1.1461224489795918	-2004.9449367127204	-2004.9449367127204
-1.7404081632653061	1.2310204081632654	-1595.925059945624	-1595.925059945624
-1.7404081632653061	1.315918367346939	-1235.0742694164726	-1235.0742694164726
-1.7404081632653061	1.4008163265306122	-922.46204134706	-922.46204134706
-1.7404081632653061	1.4857142857142858	-658.1577573578616	-658.1577573578616
-1.7404081632653061	1.5706122448979594	-442.23070364283035	-442.23070364283035
-1.7404081632653061	1.655510204081633	-274.7500701439471	-274.7500701439471
-1.7404081632653061	1.7404081632653061	-155.784949722882	-155.784949722882
-1.7404081632653061	1.8253061224489797	-85.404337332539	-85.404337332539
-1.7404081632653061	1.9102040816326533	-63.67712918652286	-63.67712918652286
-1.7404081632653061	1.9951020408163265	-90.67212192749369	-90.67212192749369
