x	y	custom_beta
-0.9126530612244899	1.5706122448979594	-116.10711637829229
-0.9126530612244899	1.655510204081633	-116.10685800228275
-0.9126530612244899	1.7404081632653061	-116.10659676484416
-0.9126530612244899	1.8253061224489797	-116.1063326659765
-0.9126530612244899	1.9102040816326533	-116.10606570567978
-0.9126530612244899	1.9951020408163265	-116.10579588395402
-0.9126530612244899	2.08	-116.10552320079918
-0.8702040816326531	-2.08	-105.56564842101841
-0.8702040816326531	-1.9951020408163267	-105.5655130864584
-0.8702040816326531	-1.910204081632653	-105.56537489046931
-0.8702040816326531	-1.8253061224489797	-105.56523383305118
-0.8702040816326531	-1.7404081632653061	-105.565089914204
-0.8702040816326531	-1.6555102040816327	-105.56494313392774
-0.8702040816326531	-1.5706122448979594	-105.56479349222244
-0.8702040816326531	-1.4857142857142858	-105.56464098908808
-0.8702040816326531	-1.4008163265306122	-105.56448562452465
-0.8702040816326531	-1.3159183673469388	-105.56432739853216
-0.8702040816326531	-1.2310204081632654	-105.56416631111061
-0.8702040816326531	-1.1461224489795918	-105.56400236226001
-0.8702040816326531	-1.0612244897959184	-105.56383555198036
-0.8702040816326531	-0.9763265306122448	-105.56366588027166
-0.8702040816326531	-0.8914285714285715	-105.56349334713387
-0.8702040816326531	-0.8065306122448979	-105.56331795256703
-0.8702040816326531	-0.7216326530612245	-105.56313969657114
-0.8702040816326531	-0.6367346938775511	-105.56295857914618
-0.8702040816326531	-0.5518367346938775	-105.56277460029217
-0.8702040816326531	-0.46693877551020413	-105.56258776000911
-0.8702040816326531	-0.38204081632653053	-105.56239805829698
-0.8702040816326531	-0.29714285714285715	-105.56220549515578
-0.8702040816326531	-0.21224489795918355	-105.56201007058554
-0.8702040816326531	-0.12734693877551018	-105.56181178458623
-0.8702040816326531	-0.0424489795918368	-105.56161063715787
-0.8702040816326531	0.0424489795918368	-105.56140662830045
-0.8702040816326531	0.1273469387755104	-105.56119975801396
-0.8702040816326531	0.21224489795918355	-105.56099002629843
-0.8702040816326531	0.29714285714285715	-105.56077743315382
-0.8702040816326531	0.38204081632653075	-105.56056197858017
-0.8702040816326531	0.46693877551020435	-105.56034366257745
-0.8702040816326531	0.5518367346938775	-105.56012248514567
-0.8702040816326531	0.6367346938775511	-105.55989844628483
-0.8702040816326531	0.7216326530612247	-105.55967154599495
-0.8702040816326531	0.8065306122448979	-105.55944178427599
-0.8702040816326531	0.8914285714285715	-105.55920916112798
-0.8702040816326531	0.9763265306122451	-105.55897367655092
-0.8702040816326531	1.0612244897959187	-105.5587353305448
-0.8702040816326531	1.1461224489795918	-105.55849412310961
-0.8702040816326531	1.2310204081632654	-105.55825005424536
-0.8702040816326531	1.315918367346939	-105.55800312395206
-0.8702040816326531	1.4008163265306122	-105.55775333222971
-0.8702040816326531	1.4857142857142858	-105.55750067907829
-0.8702040816326531	1.5706122448979594	-105.5572451644978
-0.8702040816326531	1.655510204081633	-105.55698678848826
-0.8702040816326531	1.7404081632653061	-105.55672555104967
-0.8702040816326531	1.8253061224489797	-105.556461452182
-0.8702040816326531	1.9102040816326533	-105.5561944918853
-0.8702040816326531	1.9951020408163265	-105.55592467015953
-0.8702040816326531	2.08	-105.5556519870047
-0.8277551020408164	-2.08	-95.51815202692843
-0.8277551020408164	-1.9951020408163267	-95.51801669236842
-0.8277551020408164	-1.910204081632653	-95.51787849637934
-0.8277551020408164	-1.8253061224489797	-95.5177374389612
-0.8277551020408164	-1.7404081632653061	-95.51759352011402
-0.8277551020408164	-1.6555102040816327	-95.51744673983777
-0.8277551020408164	-1.5706122448979594	-95.51729709813246
-0.8277551020408164	-1.4857142857142858	-95.5171445949981
-0.8277551020408164	-1.4008163265306122	-95.51698923043467
-0.8277551020408164	-1.3159183673469388	-95.51683100444218
-0.8277551020408164	-1.2310204081632654	-95.51666991702064
-0.8277551020408164	-1.1461224489795918	-95.51650596817004
-0.8277551020408164	-1.0612244897959184	-95.51633915789039
-0.8277551020408164	-0.9763265306122448	-95.51616948618168
-0.8277551020408164	-0.8914285714285715	-95.5159969530439
-0.8277551020408164	-0.8065306122448979	-95.51582155847706
-0.8277551020408164	-0.7216326530612245	-95.51564330248117
-0.8277551020408164	-0.6367346938775511	-95.51546218505621
-0.8277551020408164	-0.5518367346938775	-95.5152782062022
-0.8277551020408164	-0.46693877551020413	-95.51509136591913
-0.8277551020408164	-0.38204081632653053	-95.514901664207
-0.8277551020408164	-0.29714285714285715	-95.5147091010658
-0.8277551020408164	-0.21224489795918355	-95.51451367649557
-0.8277551020408164	-0.12734693877551018	-95.51431539049625
-0.8277551020408164	-0.0424489795918368	-95.5141142430679
