BR(B->Knunu)	BR(tau->mununu)	BR(K->pinunu)	BR(B->mumu)	BR(Bs->mumu)	RK*	RD*	logL
5.410322592198784e-06	0.1728047892318617	8.950317215330204e-11	1.1445560206474808e-10	3.681945431128333e-09	0.9892093541467647	0.338525637423065	20.535965
6.008361429161461e-06	0.17286030001668268	1.800057777416808e-10	1.1446075659428975e-10	3.7128133652303038e-09	0.9786819321474446	0.3564198740218845	19.158821
5.352264391282488e-06	0.17278237069339702	8.03237926020977e-11	1.1429453879504649e-10	3.6790017018793783e-09	0.9977027110919412	0.33633550068245766	20.320866
6.088685425080148e-06	0.1728471510005359	7.564219534200094e-11	1.1474209187416533e-10	3.855015292029639e-09	1.039864346939121	0.3590874760350223	18.121698
6.164311066981915e-06	0.1727847743107902	8.62282271355656e-11	1.1427208057879735e-10	3.6910239688091755e-09	0.9355176697987647	0.3628408473433012	21.282038
6.619476668212235e-06	0.17275924244093807	1.0388891790337195e-10	1.1442755497272785e-10	3.6938759889494634e-09	0.9794242134385849	0.3785030907661869	20.790352
5.79692094883525e-06	0.17279986971649125	9.860843186736651e-11	1.1444108794986716e-10	3.6873339173860216e-09	0.9846260288774296	0.35158523435047156	21.693314
5.727463317543391e-06	0.17272414020709523	7.07449412018609e-11	1.1428045725928959e-10	3.6709528513183784e-09	0.9955593636342346	0.3510053071842028	21.523561
5.381178403929331e-06	0.1728358849584946	1.2408677150480283e-10	1.1445195151116397e-10	3.682781417061665e-09	0.9728936812086798	0.3365814436672401	18.95265
5.407973319294779e-06	0.17277772353283774	7.055093271804649e-11	1.143046050639892e-10	3.6716579185187896e-09	0.9216967207012186	0.33880076821739175	21.544125
5.9869133737407645e-06	0.1727981428085355	8.785798176011494e-11	1.1428594637598162e-10	3.6715045755884143e-09	0.9756315384989614	0.3576506942707755	22.541616
5.574160175958675e-06	0.172810209896289	8.572064754777129e-11	1.1449645285259071e-10	3.6923939320618067e-09	0.9745523744307132	0.34375383760310374	20.586227
5.626485508065032e-06	0.17277077747540986	1.3114153718013742e-10	1.1424694712232941e-10	3.670818407229208e-09	0.9946506250538844	0.3454738829481851	21.348305
5.562579323126415e-06	0.17286747716711964	8.270321641394321e-11	1.1428172856789478e-10	3.6740977013177095e-09	0.9608557948497669	0.3413792743281728	20.546143
5.8098978530668485e-06	0.1728370901355857	7.345181744626082e-11	1.1766227251457068e-10	4.592509877279696e-09	1.2043951460263622	0.3498655351160315	18.570587
5.640767806818832e-06	0.17284342829654156	9.719233717128227e-11	1.1428750512495057e-10	3.6720561909421554e-09	0.9491310360605398	0.34486269654256124	22.308382
5.51133564991531e-06	0.1728038829726538	6.938556904294412e-11	1.1429303375861202e-10	3.6731177201874863e-09	0.9368420164377436	0.3414004326838473	21.448172
